,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
0,2/4/2020 9:59:34,Facultad de Ingeniería,Masculino,18,2,Heterosexual,Catolicismo,173.0,65.0,1.0,15.0,Sí,2,Prepa,0,51.0,Licenciatura,48.0,Bachillerato,Magdalena Contreras,No,Sí,0,No,0,0,0,0,0,0,1
1,2/4/2020 10:01:35,Facultad de Química,Femenino,18,2,Heterosexual,Catolicismo,160.0,48.0,1.0,16.0,Sí,1,Prepa,22,61.0,Maestría,51.0,Licenciatura,Álvaro Obregón,No,Sí,0,No,0,1,0,0,1,0,0
2,2/4/2020 10:48:17,Facultad de Química,Femenino,21,8,Heterosexual,Catolicismo,161.0,46.0,1.0,21.0,Sí,0,Prepa,"24, 19, 16",54.0,Licenciatura,51.0,Licenciatura,Tlalpan,No,No,0,No,0,1,1,0,0,1,0
3,2/4/2020 10:53:20,Facultad de Química,Femenino,20,4,Heterosexual,Ateismo,167.0,62.0,5.0,16.0,Sí,1,Privada,0,50.0,Doctorado,47.0,Doctorado,Tlalpan,No,Sí,2,Sí,1,0,0,0,0,0,1
4,2/4/2020 10:54:24,Facultad de Química,Femenino,19,4,Heterosexual,Catolicismo,160.0,65.0,1.0,18.0,No,0,Prepa,"41, 25",67.0,Carrera Técnica,57.0,Carrera Técnica,Benito Juárez,No,Sí,4,No,0,1,1,0,1,0,0
5,2/4/2020 10:54:49,Facultad de Química,Femenino,20,4,Heterosexual,Catolicismo,165.0,54.0,0.0,18.0,No,0,Privada,14,50.0,Doctorado,50.0,Doctorado,Tlalpan,No,Sí,2,No,0,1,0,0,0,0,1
6,2/4/2020 10:58:23,Facultad de Química,Masculino,19,2,Heterosexual,Ateismo,166.0,66.0,5.0,15.0,Sí,1,CCH,10,40.0,Maestría,40.0,Maestría,Tláhuac,No,Sí,8,Sí,2,1,0,0,0,0,1
7,2/4/2020 10:58:29,Facultad de Química,Femenino,19,2,Heterosexual,Ateismo,165.0,64.0,2.0,16.0,Sí,7,Prepa,"5,16",49.0,Maestría,44.0,Bachillerato,Estado de México,No,Sí,4,No,0,1,1,0,0,0,1
8,2/4/2020 10:58:34,Facultad de Química,Masculino,19,2,Heterosexual,Catolicismo,187.0,98.0,1.0,16.0,No,0,Prepa,No,47.0,Secundaria,49.0,Secundaria,Coyoacán,No,No,0,No,0,0,0,1,0,0,0
9,2/4/2020 10:59:49,Facultad de Química,Femenino,18,2,Heterosexual,Catolicismo,150.0,52.0,4.0,15.0,Sí,6,CCH,"32,26,22",60.0,Licenciatura,52.0,Bachillerato,Coyoacán,Sí,Sí,4,No,0,1,0,0,1,0,0
10,2/4/2020 11:03:31,Facultad de Química,Masculino,19,4,Homosexual,Catolicismo,170.0,72.0,50.0,16.0,Sí,4,Prepa,0,49.0,Licenciatura,45.0,Licenciatura,Estado de México,Sí,Sí,4,No,0,0,0,0,0,0,1
