Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Hermanos Sexos,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número)
2/4/2020 9:59:34,Facultad de Ingeniería,Masculino,18,2,Heterosexual,Catolicismo,173,65,1,15,Sí,2,Prepa,0,Null,51,Licenciatura,48,Bachillerato,Magdalena Contreras,,,,,
2/4/2020 10:01:35,Facultad de Química,Femenino,18,2,Heterosexual,Catolicismo,160,48,1,16,Sí,Una o dos veces,Prepa,22,M,61,Maestría,51,Licenciatura,Álvaro Obregón,,,,,
2/4/2020 10:48:17,Facultad de Química,Femenino,21,8,Heterosexual,Catolicismo,1.61,46,1,21,Sí,0.083,Prepa,"24, 19, 16","F, M, M",54,Licenciatura,51,Licenciatura,Tlalpan,No,No,0,No,0
2/4/2020 10:53:20,Facultad de Química,Femenino,20,4,Heterosexual,Ateismo,167,62,5,16,Sí,1,Privada,0,Null,50,Doctorado,47,Doctorado,Tlalpan,No,Sí,2,Sí,1
2/4/2020 10:54:24,Facultad de Química,Femenino,19,4,Heterosexual,Catolicismo,160,65,1,18,No,0,Prepa,"41, 25","M, F",67,Carrera Técnica,57,Carrera Técnica,Benito Juárez,No,Sí,4,No,0
2/4/2020 10:54:49,Facultad de Química,Femenino,20,4,Heterosexual,Catolicismo,165,54,0,18,No,0,Privada,14,M,50,Doctorado,50,Doctorado,Tlalpan,No,Sí,2,No,0
2/4/2020 10:58:23,Facultad de Química,Masculino,19,2,Heterosexual,Ateismo,166,66,5,15,Sí,1,CCH,10,Masculino,40,Maestría,40,Maestría,Tláhuac,No,Sí,8,Sí,2
2/4/2020 10:58:29,Facultad de Química,Femenino,19,2,Heterosexual,Ateismo,1.65,64,2,16,Sí,7,Prepa,"5,16","F,M",49,Maestría,44,Bachillerato,Estado de México,No,Sí,4,No,
2/4/2020 10:58:34,Facultad de Química,Masculino,19,2,Heterosexual,Catolicismo,187,98,1,16,No,,Prepa,No,No,47,Secundaria,49,Secundaria,Coyoacán,No,No,,No,No
2/4/2020 10:59:49,Facultad de Química,Femenino,18,2,Heterosexual,Catolicismo,150,52,4,15,Sí,6,CCH,"32,26,22","M,M,M",60,Licenciatura,52,Bachillerato,Coyoacán,Sí,Sí,4,No,0
2/4/2020 11:03:31,Facultad de Química,Masculino,19,4,Homosexual,Catolicismo,170,72,50,16,Sí,4,Prepa,0,NULO,49,Licenciatura,45,Licenciatura,Estado de México,Sí,Sí,4,No,0
2/4/2020 11:03:32,Facultad de Química,Femenino,19,4,Heterosexual,Agnosticismo,162,55,6,16,Sí,2,Privada,0,Nulo,54,Licenciatura,54,Licenciatura,Benito Juárez,No,Sí,4,No,0
2/4/2020 11:06:32,Facultad de Química,Masculino,20,4,Bisexual,Catolicismo,172,60,20,13,Sí,4,Prepa,19,Masculino,37,Maestría,36,Licenciatura,Coyoacán,Sí,Sí,4 durante el mes,Sí,1 al vez
