,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
0,2/4/2020 9:59:34,7.0,1.0,1.0,1.0,1.0,2.0,28.0,30.0,1.0,4.0,1.0,2.0,2.0,1.0,17.0,3.0,14.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2/4/2020 10:01:35,12.0,0.0,1.0,1.0,1.0,2.0,15.0,9.0,1.0,5.0,1.0,1.0,2.0,67.0,27.0,4.0,17.0,3.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,2/4/2020 10:48:17,12.0,0.0,4.0,7.0,1.0,2.0,16.0,6.0,1.0,10.0,1.0,0.0,2.0,84.0,20.0,3.0,17.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
3,2/4/2020 10:53:20,12.0,0.0,3.0,3.0,1.0,1.0,22.0,26.0,5.0,5.0,1.0,1.0,3.0,1.0,16.0,2.0,13.0,2.0,12.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,2/4/2020 10:54:24,12.0,0.0,2.0,3.0,1.0,2.0,15.0,30.0,1.0,7.0,0.0,0.0,2.0,142.0,32.0,1.0,23.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5,2/4/2020 10:54:49,12.0,0.0,3.0,3.0,1.0,2.0,20.0,17.0,0.0,7.0,0.0,0.0,3.0,24.0,16.0,2.0,16.0,2.0,12.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6,2/4/2020 10:58:23,12.0,1.0,2.0,1.0,1.0,1.0,21.0,31.0,5.0,4.0,1.0,1.0,0.0,14.0,6.0,4.0,6.0,4.0,13.0,0.0,1.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
7,2/4/2020 10:58:29,12.0,0.0,2.0,1.0,1.0,1.0,20.0,29.0,2.0,5.0,1.0,7.0,2.0,144.0,15.0,4.0,10.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
8,2/4/2020 10:58:34,12.0,1.0,2.0,1.0,1.0,2.0,40.0,54.0,1.0,5.0,0.0,0.0,2.0,155.0,13.0,5.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,2/4/2020 10:59:49,12.0,0.0,1.0,1.0,1.0,2.0,5.0,14.0,4.0,4.0,1.0,6.0,0.0,130.0,26.0,3.0,18.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
10,2/4/2020 11:03:31,12.0,1.0,2.0,3.0,2.0,2.0,25.0,38.0,21.0,5.0,1.0,4.0,2.0,1.0,15.0,3.0,11.0,3.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,2/4/2020 11:03:32,12.0,0.0,2.0,3.0,1.0,0.0,17.0,19.0,6.0,5.0,1.0,2.0,3.0,1.0,20.0,3.0,20.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,2/4/2020 11:06:32,12.0,1.0,3.0,3.0,0.0,2.0,27.0,24.0,19.0,2.0,1.0,4.0,2.0,49.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
13,2/4/2020 11:10:18,12.0,0.0,1.0,0.0,1.0,2.0,15.0,6.0,1.0,6.0,0.0,0.0,2.0,155.0,17.0,3.0,17.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,2/4/2020 11:11:32,12.0,1.0,1.0,0.0,1.0,2.0,25.0,31.0,4.0,4.0,1.0,2.0,2.0,27.0,15.0,4.0,17.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
15,2/4/2020 11:11:53,12.0,1.0,2.0,1.0,1.0,0.0,38.0,41.0,6.0,5.0,1.0,5.0,2.0,2.0,24.0,3.0,22.0,3.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
16,2/4/2020 11:15:34,12.0,1.0,4.0,5.0,1.0,0.0,39.0,34.0,0.0,0.0,0.0,0.0,2.0,145.0,6.0,3.0,5.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,2/4/2020 11:15:43,12.0,0.0,3.0,5.0,1.0,2.0,20.0,33.0,1.0,6.0,1.0,3.0,2.0,88.0,19.0,3.0,21.0,1.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
